Num,Name,Ca,,, 
402,버거_트리플치즈 버거,E,,,
403,버거_티렉스버거 T-REX 버거,E,,,
404,버거_페퍼로니 버거,E,,,
405,버거_페퍼로니피자 치킨 버거,E,,,
406,버거_프랭크 버거,E,,,
407,버거_프랭크 버거 (L),E,,,
408,버거_한우트러플머쉬룸 버거,E,,,
409,버거_햄버거,E,,,
410,버거_화이트갈릭싸이 버거,E,,,
411,피자_샘스테이크 피자 골드스윗 (R),E,,,
412,피자_샘스테이크 피자 석쇠 (L),E,,,
413,피자_1988 피자 (L),E,,,
414,피자_1992브로 피자 (L),E,,,
415,피자_2in1(한우불고기+밤스위트골드) 피자 (L),E,,,
416,피자_2in1(한우불고기+밤스위트골드) 피자 (F),E,,,
417,피자_2in1(한우불고기+밤스위트골드) 피자 (R),E,,,
418,피자_4색 피자 (L),E,,,
419,피자_4색 피자 (R),E,,,
420,피자_7번가스페셜 피자 골드스윗 (L),E,,,
421,피자_7번가스페셜 피자 골드스윗 (R),E,,,
422,피자_7번가스페셜 피자 리코타링 (L),E,,,
423,피자_7번가스페셜 피자 리코타링 (R),E,,,
424,피자_7번가스페셜 피자 석쇠 (L),E,,,
425,피자_7번가스페셜 피자 석쇠 (R),E,,,
426,피자_7번가스페셜 피자 씬도우 (L),E,,,
427,피자_7번가스페셜 피자 씬도우 (R),E,,,
428,피자_7번가스페셜 피자 치즈링 (L),E,,,
429,피자_7번가스페셜 피자 치즈링 (R),E,,,
430,피자_8비트 피자 오리지널 (M),E,,,
431,피자_BBQ리얼 시카고 피자 (L),E,,,
432,피자_BBQ불고기 피자 마니아 에어도우 (L),E,,,
433,피자_BBQ불고기 피자 마니아 에어도우 (M),E,,,
434,피자_BBQ불고기 피자 마니아 파마산엣지 (L),E,,,
435,피자_BBQ불고기 피자 마니아 파마산엣지 (M),E,,,
436,피자_가든스페셜 피자 (F),E,,,
437,피자_가든스페셜 피자 (L),E,,,
438,피자_가든스페셜 피자 (P),E,,,
439,피자_가든스페셜 피자 (R),E,,,
440,피자_갈릭 버터 쉬림프 피자 리치골드 (L),E,,,
441,피자_갈릭 버터 쉬림프 피자 리치골드 (M),E,,,
442,피자_갈릭 버터 쉬림프 피자 치즈크러스트 (L),E,,,
443,피자_갈릭 버터 쉬림프 피자 치즈크러스트 (M),E,,,
444,피자_갈릭베이컨체다치즈 피자 (L),E,,,
445,피자_갈릭베이컨포테이토 피자 (L),E,,,
446,피자_갈릭비프스테이크 피자 (L),E,,,
447,피자_갈릭비프스테이크 피자 (M),E,,,
448,피자_갈릭쉬림프 피자 (L),E,,,
449,피자_갈릭쉬림프 피자 오리지널 (M),E,,,
450,피자_갈릭스테이크쉬림프 피자 (L),E,,,
451,피자_갈릭스테이크 피자 (L),E,,,
452,피자_갈릭스테이크 피자 오리지널 (M),E,,,
453,피자_갈릭페퍼스테이크 피자 (F),E,,,
454,피자_갈릭페퍼스테이크 피자 (L),E,,,
455,피자_갈릭페퍼스테이크 피자 (P),E,,,
456,피자_갈릭홀릭 피자 (L),E,,,
457,피자_갈릭홀릭 피자 (R),E,,,
458,피자_갈비앤치킨 피자 씬 (L),E,,,
459,피자_갈비앤치킨 피자 씬 (R),E,,,
460,피자_감자베이컨 피자 (L),E,,,
461,피자_감자별한웅큼피자 (L),E,,,
462,피자_감자 피자,E,,,
463,피자_강냉이털어 피자 (L),E,,,
464,피자_걱정말아요허니 피자 (L),E,,,
465,피자_고객의실수 피자 (L),E,,,
466,피자_고객의실수 피자 (R),E,,,
467,피자_고구마랍스터볼크림 피자 (L),E,,,
468,피자_고구마무스 베이컨 피자 (L),E,,,
469,피자_고구마무스 피자 (L),E,,,
470,피자_고구마무스 피자 (L),E,,,
471,피자_고구마무스 피자 (M),E,,,
472,피자_고구마 베이컨 피자 (L),E,,,
473,피자_고구마베이컨 피자 (L),E,,,
474,피자_고구마스위트 피자 (L),E,,,
475,피자_고구마파인애플 피자 (L),E,,,
476,피자_고구마 피자 (L),E,,,
477,피자_고구마 피자 (L),E,,,
478,피자_고구마 피자 (L),E,,,
479,피자_고구마 피자 (L),E,,,
480,피자_고구마 피자 (L),E,,,
481,피자_고구마 피자 (L),E,,,
482,피자_고구마 피자 (L),E,,,
483,피자_고구마 피자 (L),E,,,
484,피자_고구마 피자 (L),E,,,
485,피자_고구마 피자 (M),E,,,
486,피자_고구마 피자 (R),E,,,
487,피자_고구마 피자 (XL),E,,,
488,피자_고구마 피자 고구마크러스트 (L),E,,,
489,피자_고구마 피자 고구마크러스트 (R),E,,,
490,피자_고구마 피자 골드스윗 (L),E,,,
491,피자_고구마 피자 골드스윗 (R),E,,,
492,피자_고구마 피자 라이스골드 (F),E,,,
493,피자_고구마 피자 라이스골드 (L),E,,,
494,피자_고구마 피자 라이스골드 (R),E,,,
495,피자_고구마 피자 라이스바이트 (F),E,,,
496,피자_고구마 피자 라이스바이트 (L),E,,,
497,피자_고구마 피자 리코타링 (L),E,,,
498,피자_고구마 피자 리코타링 (R),E,,,
499,피자_고구마 피자 밀스크린 (L),E,,,
500,피자_고구마 피자 밀스크린 (R),E,,,
501,피자_고구마 피자 밀스크린고구마크러스트 (L),E,,,
502,피자_고구마 피자 밀스크린고구마크러스트 (R),E,,,
503,피자_고구마 피자 밀스크린체다크림크러스트 (L),E,,,
504,피자_고구마 피자 밀스크린체다크림크러스트 (R),E,,,
505,피자_고구마 피자 밀스크린치즈크러스트 (L),E,,,
506,피자_고구마 피자 밀스크린치즈크러스트 (R),E,,,
507,피자_고구마 피자 백미 (L),E,,,
508,피자_고구마 피자 백미 (R),E,,,
509,피자_고구마 피자 백미스크린 (L),E,,,
510,피자_고구마 피자 백미스크린 (R),E,,,
511,피자_고구마 피자 백미스크린치즈크러스트 (L),E,,,
512,피자_고구마 피자 백미스크린치즈크러스트 (R),E,,,
513,피자_고구마 피자 석쇠 (F),E,,,
514,피자_고구마 피자 석쇠 (L),E,,,
515,피자_고구마 피자 석쇠 (L),E,,,
516,피자_고구마 피자 석쇠 (R),E,,,
517,피자_고구마 피자 석쇠 (R),E,,,
518,피자_고구마 피자 씬 (L),E,,,
519,피자_고구마 피자 씬도우 (L),E,,,
520,피자_고구마 피자 씬도우 (R),E,,,
521,피자_고구마 피자 체다크림크러스트 (L),E,,,
522,피자_고구마 피자 체다크림크러스트 (R),E,,,
523,피자_고구마 피자 치즈링 (L),E,,,
524,피자_고구마 피자 치즈링 (R),E,,,
525,피자_고구마 피자 치즈크러스트 (F),E,,,
526,피자_고구마 피자 치즈크러스트 (L),E,,,
527,피자_고구마 피자 치즈크러스트 (L),E,,,
528,피자_고구마 피자 치즈크러스트 (R),E,,,
529,피자_고구마 피자 치즈크러스트 (R),E,,,
530,피자_고구마 피자 팬 (F),E,,,
531,피자_고구마 피자 팬 (L),E,,,
532,피자_고구마 피자 팬 (L),E,,,
533,피자_고구마 피자 팬 (R),E,,,
534,피자_고구마 피자 팬 (R),E,,,
535,피자_고구마 피자 흑미스크린 (L),E,,,
536,피자_고구마 피자 흑미스크린 (R),E,,,
537,피자_고구마 피자 흑미스크린치즈크러스트 (L),E,,,
538,피자_고구마 피자 흑미스크린치즈크러스트 (R),E,,,
539,피자_고구마 피자,E,,,
540,피자_고구마 피자 씬 (R),E,,,
541,피자_고구마 피자,E,,,
542,피자_고기밭피자 (L),E,,,
543,피자_고르곤졸라 (L),E,,,
544,피자_고르곤졸라 피자,E,,,
545,피자_고르곤졸라 피자 (L),E,,,
546,피자_고르곤졸라 피자 (L),E,,,
547,피자_고르곤졸라 피자 (L),E,,,
548,피자_고르곤졸라 피자 (L),E,,,
549,피자_고르곤졸라 피자 (L),E,,,
550,피자_고르곤졸라 피자 (L),E,,,
551,피자_고르곤졸라 피자 (L),E,,,
552,피자_고르곤졸라 피자 (L),E,,,
553,피자_고르곤졸라 피자 (L),E,,,
554,피자_고르곤졸라 피자 (M),E,,,
555,피자_고르곤졸라 피자 (R),E,,,
556,피자_고르곤졸라 피자 (XL),E,,,
557,피자_고르곤졸라 피자 골드스윗 (G),E,,,
558,피자_고르곤졸라 피자 골드스윗 (L),E,,,
559,피자_고르곤졸라 피자 골드스윗 (R),E,,,
560,피자_고르곤졸라 피자 리코타링 (G),E,,,
561,피자_고르곤졸라 피자 리코타링 (L),E,,,
562,피자_고르곤졸라 피자 리코타링 (R),E,,,
563,피자_고르곤졸라 피자 석쇠 (G),E,,,
564,피자_고르곤졸라 피자 석쇠 (L),E,,,
565,피자_고르곤졸라 피자 석쇠 (R),E,,,
566,피자_고르곤졸라 피자 씬도우 (L),E,,,
567,피자_고르곤졸라 피자 씬도우 (R),E,,,
568,피자_고르곤졸라 피자 치즈링 (G),E,,,
569,피자_고르곤졸라 피자 치즈링 (L),E,,,
570,피자_고르곤졸라 피자 치즈링 (R),E,,,
571,피자_고르곤졸라 피자,E,,,
572,피자_고르곤졸라 피자,E,,,
573,피자_고르곤졸라 피자,E,,,
574,피자_고르곤졸라 피자,E,,,
575,피자_고르곤졸라 피자 씬 (L),E,,,
576,피자_고르곤졸라 피자 씬 (R),E,,,
577,피자_고소포테이토 피자 (L),E,,,
578,피자_고스트페퍼로니 피자 (L),E,,,
579,피자_골드고구마 피자 (L),E,,,
580,피자_골드고구마 피자 오리지널 (M),E,,,
581,피자_골드꿀고구마 피자 (L),E,,,
582,피자_골드바베큐치킨 피자 (L),E,,,
583,피자_골드바베큐필레 피자 (L),E,,,
584,피자_골드베스트 피자 (L),E,,,
585,피자_골드베이컨 피자 (L),E,,,
586,피자_골드불고기 피자 (L),E,,,
587,피자_골드새우 피자 (L),E,,,
588,피자_골드스윗하새우 피자 (L),E,,,
589,피자_골드스테이크불갈비 피자 (L),E,,,
590,피자_골드스테이크 피자 (L),E,,,
591,피자_골드이탈리안치즈 피자 (L),E,,,
592,피자_골드체다소세지 피자 (L),E,,,
593,피자_골드콤비네이션 피자 (L),E,,,
594,피자_골드투움바파스타 피자 (L),E,,,
595,피자_골드트러플버섯 피자 (L),E,,,
596,피자_골드페파로니 피자 (L),E,,,
597,피자_골드포테이토 피자 (L),E,,,
598,피자_골드포테이토 피자 (L),E,,,
599,피자_골드프리미엄 불고기 피자 (L),E,,,
600,피자_골드하와이언쉬림프 피자 (L),E,,,
601,피자_골드핫치킨 피자 (L),E,,,
602,피자_골든치즈볼 피자 (L),E,,,
603,피자_골든큐브스테이크 피자,E,,,
604,피자_과카몰리 비프 쉬림프 피자,E,,,
605,피자_관자네 온 새우 피자 (L),E,,,
606,피자_관자네 온 새우 피자 (M),E,,,
607,피자_궁중불고기 피자 (L),E,,,
608,피자_그릴드포크벨리 피자 (L),E,,,
609,피자_까르보나라 피자 (L),E,,,
610,피자_까르보네 피자,E,,,
611,피자_깐쇼불갈비 피자 골드스윗 (L),E,,,
612,피자_깐쇼불갈비 피자 골드스윗 (R),E,,,
613,피자_깐쇼불갈비 피자 리코타링 (L),E,,,
614,피자_깐쇼불갈비 피자 리코타링 (R),E,,,
615,피자_깐쇼불갈비 피자 석쇠 (L),E,,,
616,피자_깐쇼불갈비 피자 석쇠 (R),E,,,
617,피자_깐쇼불갈비 피자 씬도우 (L),E,,,
618,피자_깐쇼불갈비 피자 씬도우 (R),E,,,
619,피자_깐쇼불갈비 피자 치즈링 (L),E,,,
620,피자_깐쇼불갈비 피자 치즈링 (R),E,,,
621,피자_깐쇼새우 피자,E,,,
622,피자_꽃맛살쉬림프 피자 (XL),E,,,
623,피자_꿀고구마 피자 (L),E,,,
624,피자_꿀고구마 피자 바이트 (L),E,,,
625,피자_꿈을 피자 (L),E,,,
626,피자_꿈을 피자 (R),E,,,
627,피자_나폴리슈림프 피자,E,,,
628,피자_나폴리 피자,E,,,
629,피자_날개 피자 (L),E,,,
630,피자_날밤새우게 피자 (L),E,,,
631,피자_날밤새우게 피자 (R),E,,,
632,피자_넌필수있어 피자 (L),E,,,
633,피자_놀부단호박 피자 골드스윗 (L),E,,,
634,피자_놀부단호박 피자 골드스윗 (R),E,,,
