Num,Name,AllKcal,OhKcal,W,P,F,C,S,Na,SF
68,새우탕,165,33,500,5.17,0.44,2,0.06,268,0.09
69,설렁탕,120,24,500,4.26,0.58,0.36,0,22,0.23
70,순대국,510,85,600,2.35,1.75,14.95,0.26,330,0.5
71,어묵국(어묵탕),108.5,31,350,1.49,1.03,3.83,0.07,226,0.07
72,오징어국,90,18,500,2.22,0.73,0.73,0.24,257,0.08
73,육개장,132,30,440,3.68,0.99,1.49,0.76,201,0.17
74,육개장_닭고기,140,20,700,2.74,0.42,1.41,0.57,167,0.15
75,장어탕,536,67,800,4.32,3.91,3.68,2.66,387,0.63
76,재첩국,80.5,23,350,0.67,0.29,4.54,0,126,0.01
77,조개국,64,16,400,1.67,0.89,0.25,0.18,297,0.05
78,콩나물국,24,6,400,0.74,0.09,0.61,0.16,219,0.03
79,토란국,64,16,400,1,0.12,2.61,0.27,190,0.04
80,해장국_뼈다귀,208,26,800,3.19,0.97,1.06,0.63,346,0.21
81,해장국_선지,174,29,600,3.86,0.96,1.23,0,312,0.13
82,갈치찌개,95,38,250,5.27,1,1.95,0.98,91,0.3
83,감자탕,376.3,71,530,6.31,4.06,2.27,0,328,1.16
84,김치전골,197.1,73,270,3.12,4.23,5.68,0.79,299,0.67
85,김치찌개_돼지고기,90,45,200,4.25,2.71,1.04,0.05,207,0.48
86,김치찌개_참치,153,51,300,3.59,2.82,2.9,0.15,264,0.26
87,꽃게탕,102,17,600,1.86,0.41,1.44,0.95,273,0.04
88,낙지전골,153,51,300,6.5,1.14,3.72,0,484,0.33
89,동태국,68,17,400,2.42,0.16,1.4,0,224,0.02
90,동태찌개,88,44,200,6.11,1.37,1.72,0.13,273,0.2
91,돼지고기찌개,144,48,300,6.25,1.51,2.26,0.13,255,0.21
92,된장찌개,92,46,200,3.38,1.63,4.44,0,318,0.27
93,매운탕_대구,132,22,600,4.49,0.4,0.19,0,250,0.15
94,매운탕_해물,210,35,600,4.85,0.64,2.51,0.45,368,0.18
95,버섯전골,234,78,300,5.14,4.24,4.78,1.18,146,0.98
96,부대찌개,738,123,600,5.86,6.49,10.27,0.18,239,1.68
97,샤브샤브_버섯,105,30,350,3.88,0.9,1.57,0.53,51,0.62
98,샤브샤브_소고기,258,43,600,5.38,1.62,1.8,1.49,96,0.18
99,소고기전골,189,63,300,7.89,3.24,0.46,0.05,299,0.69
100,순두부찌개_김치,70,35,200,2.98,1.59,2.17,0.32,151,0.46
101,알탕,202.8,39,520,6.37,0.74,1.74,0,250,0.16
102,오리백숙,336,112,300,10.59,7.5,0.5,0.25,161,1.56
103,오리탕,726,121,600,9.5,6.56,6.08,3.58,317,1.33
104,오징어찌개,85,34,250,3.3,0.22,4.77,0.45,285,0.05
105,청국장찌개,94,47,200,5.03,2.11,1.92,0,242,0.45
106,추어탕,189,54,350,3.24,3.18,3.07,0,246,0.31
107,콩비지찌개,276,69,400,6.74,3.08,3.57,3.25,289,0.51
108,호박찌개_고추장,114.8,41,280,2.08,0.99,5.96,0.56,211,0.1
109,고구마_찐고구마,278,139,200,1.67,0.24,32.47,16.32,10,0.05
110,가오리찜,204,102,200,21.99,1.39,0.46,0.06,151,0.26
111,갈비찜_소고기,255,85,300,7.25,3.17,6.95,0.75,272,0.85
112,감자_찐감자,140,70,200,2.16,0.16,15.01,0.86,3,0.03
113,깻잎찜,97,97,100,5.21,5.86,5.96,1.33,792,0.46
114,꼬막찜,192,96,200,12.03,2.28,6.97,1.03,736,0.59
115,꽈리고추찜,104,104,100,3.59,2.09,17.69,0.44,316,0.37
116,달걀찜_새우젓,116,58,200,4.98,4.04,0.47,0,247,1.22
117,달걀찜_우유,210,105,200,8.23,6.31,3.8,2.55,262,2.5
118,닭찜,321,107,300,12.37,6.09,0.6,0,224,0.98
119,돼지갈비찜,582,194,300,13.29,12.32,7.44,0.13,478,3.68
120,사태찜_소고기,330,110,300,12.1,5.17,3.67,0.13,302,1.13
121,수육_소고기,498,166,300,28.43,4.94,2.04,0.11,31,1.89
122,순대,411.4,187,220,2.75,3.64,35.73,1.39,604,1.12
123,아귀찜,168,84,200,6.72,3.13,7.26,2.73,392,0.48
124,애호박찜,181,181,100,9.5,6.48,21.18,1.81,161,1.44
125,옥수수_찐옥수수,370,185,200,6.68,2.42,34.2,2.36,90,0.29
126,족발,582.5,233,250,26.04,13.91,0.93,0,345,4.66
127,코다리찜,188,94,200,14.49,1.35,6.08,2.5,620,0.31
128,콩나물찜_해물,112,56,200,6.67,1.01,4.97,0,223,0.21
129,풋고추찜,51,51,100,2.31,0.99,8.27,1.44,708,0.14
130,가자미구이,246,123,200,18.7,5.02,0.66,0,315,0.82
131,갈비구이_소고기,723,241,300,25.91,14.55,1.59,0.26,402,5.62
132,갈치구이_기름,276,138,200,21.54,5.48,0.6,0,297,1.31
133,고등어구이_석쇠,680,340,200,23.38,25.69,3.79,0,126,6.95
134,삼겹살구이,934,467,200,22.56,41.69,0.35,0,576,12.42
135,삼겹살구이_고추장,806,403,200,14.21,32.83,12.63,5.73,510,13.1
